customer_id,name,email,date_of_birth,loyalty_level_id,points_balance
1,Customer_1,customer1@example.com,2014-04-26,1,3096
2,Customer_2,customer2@example.com,2004-12-14,2,1958
3,Customer_3,customer3@example.com,2014-02-11,3,2358
4,Customer_4,customer4@example.com,1986-10-05,2,4235
5,Customer_5,customer5@example.com,2016-01-12,2,4069
6,Customer_6,customer6@example.com,1992-06-01,4,2425
7,Customer_7,customer7@example.com,2014-08-10,1,2171
8,Customer_8,customer8@example.com,1992-01-10,4,3205
9,Customer_9,customer9@example.com,1993-11-26,4,4192
10,Customer_10,customer10@example.com,1991-01-12,5,3097
11,Customer_11,customer11@example.com,1994-11-14,4,2202
12,Customer_12,customer12@example.com,1980-03-19,1,3173
13,Customer_13,customer13@example.com,2018-05-17,1,2190
14,Customer_14,customer14@example.com,2008-08-02,1,4934
15,Customer_15,customer15@example.com,2017-04-16,2,1140
16,Customer_16,customer16@example.com,2010-06-05,1,1636
17,Customer_17,customer17@example.com,1991-06-09,2,4308
18,Customer_18,customer18@example.com,1993-10-31,4,1852
19,Customer_19,customer19@example.com,1991-07-26,1,1743
20,Customer_20,customer20@example.com,2018-04-12,1,4856
21,Customer_21,customer21@example.com,1983-11-01,5,1942
22,Customer_22,customer22@example.com,1972-07-20,1,4347
23,Customer_23,customer23@example.com,1989-09-03,4,4903
24,Customer_24,customer24@example.com,1988-07-13,1,2281
25,Customer_25,customer25@example.com,1970-08-23,1,4925
26,Customer_26,customer26@example.com,2010-08-12,1,3968
27,Customer_27,customer27@example.com,1992-03-21,2,3922
28,Customer_28,customer28@example.com,2005-02-05,4,4458
29,Customer_29,customer29@example.com,2013-04-23,3,3486
30,Customer_30,customer30@example.com,2006-06-27,3,3263
31,Customer_31,customer31@example.com,1996-02-01,3,3333
32,Customer_32,customer32@example.com,1985-01-10,3,1839
33,Customer_33,customer33@example.com,2015-11-14,3,1693
34,Customer_34,customer34@example.com,1999-06-09,3,2376
35,Customer_35,customer35@example.com,1988-02-02,4,4262
36,Customer_36,customer36@example.com,1999-04-06,1,3490
37,Customer_37,customer37@example.com,1991-05-19,5,32
38,Customer_38,customer38@example.com,2018-12-25,1,619
39,Customer_39,customer39@example.com,2005-06-23,1,2986
40,Customer_40,customer40@example.com,1988-04-22,3,4980
41,Customer_41,customer41@example.com,1977-09-24,4,974
42,Customer_42,customer42@example.com,1975-08-15,4,2516
43,Customer_43,customer43@example.com,2010-03-07,2,310
44,Customer_44,customer44@example.com,2013-01-15,4,1317
45,Customer_45,customer45@example.com,1994-05-08,5,1333
46,Customer_46,customer46@example.com,1994-02-25,1,3651
47,Customer_47,customer47@example.com,2009-08-08,3,4544
48,Customer_48,customer48@example.com,1978-01-12,2,233
49,Customer_49,customer49@example.com,1975-12-04,3,4473
50,Customer_50,customer50@example.com,1995-12-04,5,1094
51,Customer_51,customer51@example.com,2015-08-15,5,2027
52,Customer_52,customer52@example.com,2005-10-04,5,2297
53,Customer_53,customer53@example.com,1990-01-07,5,2158
54,Customer_54,customer54@example.com,1997-10-09,4,4390
55,Customer_55,customer55@example.com,2005-11-28,3,4912
56,Customer_56,customer56@example.com,1991-11-07,5,393
57,Customer_57,customer57@example.com,1985-01-01,4,4902
58,Customer_58,customer58@example.com,1990-09-01,1,1870
59,Customer_59,customer59@example.com,2002-12-01,3,302
60,Customer_60,customer60@example.com,2010-04-06,1,1726
61,Customer_61,customer61@example.com,2018-06-15,4,3020
62,Customer_62,customer62@example.com,1990-02-18,2,3587
63,Customer_63,customer63@example.com,1999-11-19,5,4997
64,Customer_64,customer64@example.com,1990-03-10,4,1359
65,Customer_65,customer65@example.com,2005-11-22,2,413
66,Customer_66,customer66@example.com,2002-02-26,1,3919
67,Customer_67,customer67@example.com,2009-10-19,5,1367
68,Customer_68,customer68@example.com,2003-05-23,2,2332
69,Customer_69,customer69@example.com,1973-07-02,3,4416
70,Customer_70,customer70@example.com,2005-12-01,1,1058
71,Customer_71,customer71@example.com,2006-12-08,1,1346
72,Customer_72,customer72@example.com,1991-09-09,3,448
73,Customer_73,customer73@example.com,1995-04-10,2,4059
74,Customer_74,customer74@example.com,1989-08-17,5,1615
75,Customer_75,customer75@example.com,2008-07-07,5,2133
76,Customer_76,customer76@example.com,2016-08-25,2,2452
77,Customer_77,customer77@example.com,1991-09-04,5,339
78,Customer_78,customer78@example.com,2005-11-26,3,2313
79,Customer_79,customer79@example.com,2009-02-23,1,609
80,Customer_80,customer80@example.com,2011-02-28,1,4454
81,Customer_81,customer81@example.com,1975-11-23,1,3378
82,Customer_82,customer82@example.com,1987-04-11,1,1096
83,Customer_83,customer83@example.com,1977-05-10,2,456
84,Customer_84,customer84@example.com,1991-07-15,4,108
85,Customer_85,customer85@example.com,2001-01-03,2,3824
86,Customer_86,customer86@example.com,1989-01-08,1,4791
87,Customer_87,customer87@example.com,2018-07-01,1,3231
88,Customer_88,customer88@example.com,2001-10-22,2,4735
89,Customer_89,customer89@example.com,2007-06-28,1,804
90,Customer_90,customer90@example.com,1972-09-15,1,3081
91,Customer_91,customer91@example.com,1975-09-14,1,391
92,Customer_92,customer92@example.com,1981-08-15,4,2968
93,Customer_93,customer93@example.com,1998-01-09,2,357
94,Customer_94,customer94@example.com,2008-04-24,1,125
95,Customer_95,customer95@example.com,1994-06-03,1,3857
96,Customer_96,customer96@example.com,1999-11-06,1,1909
97,Customer_97,customer97@example.com,2011-07-29,1,1711
98,Customer_98,customer98@example.com,1989-12-01,3,504
99,Customer_99,customer99@example.com,1997-06-15,3,294
100,Customer_100,customer100@example.com,1991-03-05,4,2833
101,Customer_101,customer101@example.com,1989-01-27,1,88
102,Customer_102,customer102@example.com,1987-09-10,5,4639
103,Customer_103,customer103@example.com,1990-07-19,5,185
104,Customer_104,customer104@example.com,2014-07-17,1,4381
105,Customer_105,customer105@example.com,1982-03-27,5,3139
106,Customer_106,customer106@example.com,2011-10-16,4,330
107,Customer_107,customer107@example.com,1985-09-28,4,4643
108,Customer_108,customer108@example.com,1992-01-03,4,2425
109,Customer_109,customer109@example.com,2004-10-21,4,1400
110,Customer_110,customer110@example.com,2002-04-20,1,4267
111,Customer_111,customer111@example.com,1979-01-08,3,3377
112,Customer_112,customer112@example.com,1974-10-20,4,3779
113,Customer_113,customer113@example.com,1981-07-11,1,3233
114,Customer_114,customer114@example.com,2005-12-13,3,781
115,Customer_115,customer115@example.com,2004-06-23,4,3248
116,Customer_116,customer116@example.com,2011-07-28,5,4953
117,Customer_117,customer117@example.com,1982-01-03,4,3191
118,Customer_118,customer118@example.com,1995-07-20,2,803
119,Customer_119,customer119@example.com,2018-12-16,4,111
120,Customer_120,customer120@example.com,2002-08-31,2,268
121,Customer_121,customer121@example.com,2000-04-17,4,1733
122,Customer_122,customer122@example.com,1983-05-20,4,1247
123,Customer_123,customer123@example.com,1988-03-03,1,1464
124,Customer_124,customer124@example.com,1988-05-19,5,3482
125,Customer_125,customer125@example.com,1988-10-25,5,3550
126,Customer_126,customer126@example.com,2002-08-29,1,3449
127,Customer_127,customer127@example.com,1988-02-28,5,2453
128,Customer_128,customer128@example.com,1999-11-02,2,4705
129,Customer_129,customer129@example.com,2014-10-26,5,36
130,Customer_130,customer130@example.com,1991-06-07,2,353
131,Customer_131,customer131@example.com,1981-03-20,1,874
132,Customer_132,customer132@example.com,1990-12-17,4,513
133,Customer_133,customer133@example.com,1983-02-18,2,4514
134,Customer_134,customer134@example.com,2013-12-30,1,4215
135,Customer_135,customer135@example.com,1978-10-30,5,2124
136,Customer_136,customer136@example.com,1973-08-20,2,4123
137,Customer_137,customer137@example.com,2006-01-13,5,3084
138,Customer_138,customer138@example.com,2001-04-04,2,4641
139,Customer_139,customer139@example.com,1981-03-21,5,2389
140,Customer_140,customer140@example.com,1994-08-26,5,1872
141,Customer_141,customer141@example.com,2016-10-19,4,863
142,Customer_142,customer142@example.com,1971-11-01,4,3047
143,Customer_143,customer143@example.com,1978-11-08,5,3700
144,Customer_144,customer144@example.com,1998-12-17,4,273
145,Customer_145,customer145@example.com,2008-01-30,1,3037
146,Customer_146,customer146@example.com,1995-07-31,4,4479
147,Customer_147,customer147@example.com,1991-10-23,2,2533
148,Customer_148,customer148@example.com,1982-01-02,1,520
149,Customer_149,customer149@example.com,2003-10-28,4,4435
150,Customer_150,customer150@example.com,1979-11-30,1,3198
151,Customer_151,customer151@example.com,1979-09-01,4,2448
152,Customer_152,customer152@example.com,1983-10-03,3,2757
153,Customer_153,customer153@example.com,1971-09-07,3,3173
154,Customer_154,customer154@example.com,2016-06-22,2,1789
155,Customer_155,customer155@example.com,2010-11-11,2,1378
156,Customer_156,customer156@example.com,2014-06-13,1,3223
157,Customer_157,customer157@example.com,2015-09-16,5,2961
158,Customer_158,customer158@example.com,2013-09-11,1,846
159,Customer_159,customer159@example.com,1986-12-12,4,1501
160,Customer_160,customer160@example.com,1976-07-23,4,3760
161,Customer_161,customer161@example.com,1993-03-26,5,2097
162,Customer_162,customer162@example.com,2010-01-19,5,3149
163,Customer_163,customer163@example.com,1996-09-30,3,2029
164,Customer_164,customer164@example.com,1983-03-12,2,4925
165,Customer_165,customer165@example.com,1975-07-02,3,2986
166,Customer_166,customer166@example.com,1982-03-13,1,1695
167,Customer_167,customer167@example.com,1988-10-04,4,803
168,Customer_168,customer168@example.com,2004-07-25,2,4117
169,Customer_169,customer169@example.com,1973-01-01,4,4003
170,Customer_170,customer170@example.com,2007-10-19,5,71
171,Customer_171,customer171@example.com,1985-05-24,3,1178
172,Customer_172,customer172@example.com,2015-07-31,3,897
173,Customer_173,customer173@example.com,2010-02-16,1,330
174,Customer_174,customer174@example.com,1990-06-06,1,4603
175,Customer_175,customer175@example.com,2013-07-13,2,163
176,Customer_176,customer176@example.com,1974-05-04,5,4253
177,Customer_177,customer177@example.com,2007-05-23,4,915
178,Customer_178,customer178@example.com,1984-12-23,4,2108
179,Customer_179,customer179@example.com,1997-05-31,1,3225
180,Customer_180,customer180@example.com,2012-10-21,5,3692
181,Customer_181,customer181@example.com,1997-12-23,2,2299
182,Customer_182,customer182@example.com,1984-03-24,5,3808
183,Customer_183,customer183@example.com,1995-02-24,5,1377
184,Customer_184,customer184@example.com,1997-03-09,1,4703
185,Customer_185,customer185@example.com,1986-11-11,5,3540
186,Customer_186,customer186@example.com,2008-08-25,3,4644
187,Customer_187,customer187@example.com,1976-04-03,3,2824
188,Customer_188,customer188@example.com,1977-07-02,3,2775
189,Customer_189,customer189@example.com,1992-10-15,5,1846
190,Customer_190,customer190@example.com,2002-01-15,4,248
191,Customer_191,customer191@example.com,2011-02-09,1,4018
192,Customer_192,customer192@example.com,1983-03-02,1,3306
193,Customer_193,customer193@example.com,1981-02-15,1,1104
194,Customer_194,customer194@example.com,2012-06-30,1,938
195,Customer_195,customer195@example.com,2016-09-28,4,2822
196,Customer_196,customer196@example.com,2002-09-03,2,4088
197,Customer_197,customer197@example.com,1975-05-14,3,3707
198,Customer_198,customer198@example.com,1974-07-21,3,2310
199,Customer_199,customer199@example.com,1974-05-08,4,688
200,Customer_200,customer200@example.com,1997-01-26,2,1142
201,Customer_201,customer201@example.com,1986-03-15,3,2610
202,Customer_202,customer202@example.com,1975-11-06,2,3257
203,Customer_203,customer203@example.com,1987-07-14,5,1968
204,Customer_204,customer204@example.com,2006-01-29,3,1887
205,Customer_205,customer205@example.com,1993-06-30,3,3348
206,Customer_206,customer206@example.com,1980-11-01,4,363
207,Customer_207,customer207@example.com,1970-09-04,2,1583
208,Customer_208,customer208@example.com,2003-02-15,1,506
209,Customer_209,customer209@example.com,1996-03-26,2,3493
210,Customer_210,customer210@example.com,1993-08-01,1,2690
211,Customer_211,customer211@example.com,1984-12-10,1,2230
212,Customer_212,customer212@example.com,1989-05-02,1,4902
213,Customer_213,customer213@example.com,2004-11-13,4,3913
214,Customer_214,customer214@example.com,1999-06-19,3,4866
215,Customer_215,customer215@example.com,1978-07-28,2,243
216,Customer_216,customer216@example.com,1987-10-05,4,893
217,Customer_217,customer217@example.com,1988-05-08,5,1178
218,Customer_218,customer218@example.com,1980-06-13,1,4712
219,Customer_219,customer219@example.com,1977-12-28,4,3796
220,Customer_220,customer220@example.com,1976-08-05,2,160
221,Customer_221,customer221@example.com,2000-09-29,2,3622
222,Customer_222,customer222@example.com,1976-09-14,1,2668
223,Customer_223,customer223@example.com,1990-03-13,2,817
224,Customer_224,customer224@example.com,1973-02-02,2,1194
225,Customer_225,customer225@example.com,1974-06-18,1,1376
226,Customer_226,customer226@example.com,2019-01-01,1,2466
227,Customer_227,customer227@example.com,1990-06-29,3,2466
228,Customer_228,customer228@example.com,2006-08-18,3,4987
229,Customer_229,customer229@example.com,2012-08-17,4,3230
230,Customer_230,customer230@example.com,1990-06-18,3,2730
231,Customer_231,customer231@example.com,2007-03-03,4,1632
232,Customer_232,customer232@example.com,2014-10-25,1,4503
233,Customer_233,customer233@example.com,1981-02-26,3,4318
234,Customer_234,customer234@example.com,1997-01-07,4,1128
235,Customer_235,customer235@example.com,2004-01-18,4,3730
236,Customer_236,customer236@example.com,2008-04-17,1,80
237,Customer_237,customer237@example.com,2014-01-22,3,1863
238,Customer_238,customer238@example.com,1981-05-20,2,195
